id;code;name;account_type;internal_group
44;101701;Transferencia de liquidez;asset_current;asset
45;101000;Activos circulantes;asset_current;asset
46;110100;Valoración de acciones;asset_current;asset
47;110200;Stock provisional (recibido);asset_current;asset
48;110300;Stock provisional (entregado);asset_current;asset
49;121000;Cuentas por cobrar;asset_receivable;asset
50;121100;Productos a recibir;asset_current;asset
51;131000;Impuesto pagado;asset_current;asset
52;132000;Impuesto por cobrar;asset_current;asset
53;141000;Pagos anticipados;asset_prepayments;asset
54;151000;Activo fijo;asset_fixed;asset
55;191000;Activos no corrientes;asset_non_current;asset
56;201000;Pasivo circulante;liability_current;liability
57;211000;Cuenta por pagar;liability_payable;liability
58;211100;facturas a recibir;liability_current;liability
59;251000;Impuesto Recibido;liability_current;liability
60;252000;Impuesto a pagar;liability_current;liability
61;291000;Pasivos no corrientes;liability_non_current;liability
62;301000;Capital;equity;equity
63;302000;Dividendos;equity;equity
64;400000;Venta de productos;income;income
65;441000;Ganancia cambiaria;income;income
66;442000;Ganancia por diferencia en efectivo;income;income
67;450000;Otros Ingresos;income_other;income
68;500000;Costo de los bienes vendidos;expense_direct_cost;expense
69;600000;Gastos;expense;expense
70;611000;Compra de Equipos;expense;expense
71;612000;Alquiler;expense;expense
72;620000;Comisiones bancarias;expense;expense
73;630000;Gastos Salariales;expense;expense
74;641000;Pérdida cambiaria;expense;expense
75;642000;Pérdida de diferencia de efectivo;expense;expense
76;961000;Gastos de RD;expense;expense
77;962000;Gastos de venta;expense;expense
78;101300;Cuenta por cobrar (PoS);asset_receivable;asset
79;643000;Pérdida de descuento en efectivo;expense;expense
80;443000;Ganancia de descuento en efectivo;income;income
81;101401;cuenta transitoria;asset_current;asset
82;101402;Recibos pendientes;asset_current;asset
83;101403;Pagos pendientes;asset_current;asset
84;101501;Efectivo;asset_cash;asset
85;101404;Banco;asset_cash;asset
86;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
87;101701;Transferencia de liquidez;asset_current;asset
88;101000;Activos circulantes;asset_current;asset
89;110100;Valoración de acciones;asset_current;asset
90;110200;Stock provisional (recibido);asset_current;asset
91;110300;Stock provisional (entregado);asset_current;asset
92;121000;Cuentas por cobrar;asset_receivable;asset
93;121100;Productos a recibir;asset_current;asset
94;131000;Impuesto pagado;asset_current;asset
95;132000;Impuesto por cobrar;asset_current;asset
96;141000;Pagos anticipados;asset_prepayments;asset
97;151000;Activo fijo;asset_fixed;asset
98;191000;Activos no corrientes;asset_non_current;asset
99;201000;Pasivo circulante;liability_current;liability
100;211000;Cuenta por pagar;liability_payable;liability
101;211100;facturas a recibir;liability_current;liability
102;251000;Impuesto Recibido;liability_current;liability
103;252000;Impuesto a pagar;liability_current;liability
104;291000;Pasivos no corrientes;liability_non_current;liability
105;301000;Capital;equity;equity
106;302000;Dividendos;equity;equity
107;400000;Venta de productos;income;income
108;441000;Ganancia cambiaria;income;income
109;442000;Ganancia por diferencia en efectivo;income;income
110;450000;Otros Ingresos;income_other;income
111;500000;Costo de los bienes vendidos;expense_direct_cost;expense
112;600000;Gastos;expense;expense
113;611000;Compra de Equipos;expense;expense
114;612000;Alquiler;expense;expense
115;620000;Comisiones bancarias;expense;expense
116;630000;Gastos Salariales;expense;expense
117;641000;Pérdida cambiaria;expense;expense
118;642000;Pérdida de diferencia de efectivo;expense;expense
119;961000;Gastos de RD;expense;expense
120;962000;Gastos de venta;expense;expense
121;101300;Cuenta por cobrar (PoS);asset_receivable;asset
122;643000;Pérdida de descuento en efectivo;expense;expense
123;443000;Ganancia de descuento en efectivo;income;income
124;101401;cuenta transitoria;asset_current;asset
125;101402;Recibos pendientes;asset_current;asset
126;101403;Pagos pendientes;asset_current;asset
127;101501;Efectivo;asset_cash;asset
128;101404;Banco;asset_cash;asset
129;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
130;101701;Transferencia de liquidez;asset_current;asset
131;101000;Activos circulantes;asset_current;asset
132;110100;Valoración de acciones;asset_current;asset
133;110200;Stock provisional (recibido);asset_current;asset
134;110300;Stock provisional (entregado);asset_current;asset
135;121000;Cuentas por cobrar;asset_receivable;asset
136;121100;Productos a recibir;asset_current;asset
137;131000;Impuesto pagado;asset_current;asset
138;132000;Impuesto por cobrar;asset_current;asset
139;141000;Pagos anticipados;asset_prepayments;asset
140;151000;Activo fijo;asset_fixed;asset
141;191000;Activos no corrientes;asset_non_current;asset
142;201000;Pasivo circulante;liability_current;liability
143;211000;Cuenta por pagar;liability_payable;liability
144;211100;facturas a recibir;liability_current;liability
145;251000;Impuesto Recibido;liability_current;liability
146;252000;Impuesto a pagar;liability_current;liability
147;291000;Pasivos no corrientes;liability_non_current;liability
148;301000;Capital;equity;equity
149;302000;Dividendos;equity;equity
150;400000;Venta de productos;income;income
151;441000;Ganancia cambiaria;income;income
152;442000;Ganancia por diferencia en efectivo;income;income
153;450000;Otros Ingresos;income_other;income
154;500000;Costo de los bienes vendidos;expense_direct_cost;expense
155;600000;Gastos;expense;expense
156;611000;Compra de Equipos;expense;expense
157;612000;Alquiler;expense;expense
158;620000;Comisiones bancarias;expense;expense
159;630000;Gastos Salariales;expense;expense
160;641000;Pérdida cambiaria;expense;expense
161;642000;Pérdida de diferencia de efectivo;expense;expense
162;961000;Gastos de RD;expense;expense
163;962000;Gastos de venta;expense;expense
164;101300;Cuenta por cobrar (PoS);asset_receivable;asset
165;643000;Pérdida de descuento en efectivo;expense;expense
166;443000;Ganancia de descuento en efectivo;income;income
1;101701;Transferencia de liquidez;asset_current;asset
19;301000;Capital;equity;equity
2;101000;Activos circulantes;asset_current;asset
3;110100;Valoración de acciones;asset_current;asset
4;110200;Stock provisional (recibido);asset_current;asset
5;110300;Stock provisional (entregado);asset_current;asset
6;121000;Cuentas por cobrar;asset_receivable;asset
7;121100;Productos a recibir;asset_current;asset
8;131000;Impuesto pagado;asset_current;asset
9;132000;Impuesto por cobrar;asset_current;asset
10;141000;Pagos anticipados;asset_prepayments;asset
11;151000;Activo fijo;asset_fixed;asset
12;191000;Activos no corrientes;asset_non_current;asset
13;201000;Pasivo circulante;liability_current;liability
39;101402;Recibos pendientes;asset_current;asset
40;101403;Pagos pendientes;asset_current;asset
41;101501;Efectivo;asset_cash;asset
42;101404;Banco;asset_cash;asset
43;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
14;211000;Cuenta por pagar;liability_payable;liability
15;211100;facturas a recibir;liability_current;liability
16;251000;Impuesto Recibido;liability_current;liability
17;252000;Impuesto a pagar;liability_current;liability
18;291000;Pasivos no corrientes;liability_non_current;liability
20;302000;Dividendos;equity;equity
21;400000;Venta de productos;income;income
22;441000;Ganancia cambiaria;income;income
23;442000;Ganancia por diferencia en efectivo;income;income
24;450000;Otros Ingresos;income_other;income
25;500000;Costo de los bienes vendidos;expense_direct_cost;expense
26;600000;Gastos;expense;expense
27;611000;Compra de Equipos;expense;expense
28;612000;Alquiler;expense;expense
29;620000;Comisiones bancarias;expense;expense
30;630000;Gastos Salariales;expense;expense
31;641000;Pérdida cambiaria;expense;expense
32;642000;Pérdida de diferencia de efectivo;expense;expense
33;961000;Gastos de RD;expense;expense
34;962000;Gastos de venta;expense;expense
35;101300;Cuenta por cobrar (PoS);asset_receivable;asset
36;643000;Pérdida de descuento en efectivo;expense;expense
37;443000;Ganancia de descuento en efectivo;income;income
38;101401;cuenta transitoria;asset_current;asset
167;101401;cuenta transitoria;asset_current;asset
168;101402;Recibos pendientes;asset_current;asset
169;101403;Pagos pendientes;asset_current;asset
170;101501;Efectivo;asset_cash;asset
171;101404;Banco;asset_cash;asset
172;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
173;101701;Transferencia de liquidez;asset_current;asset
174;101000;Activos circulantes;asset_current;asset
175;110100;Valoración de acciones;asset_current;asset
176;110200;Stock provisional (recibido);asset_current;asset
177;110300;Stock provisional (entregado);asset_current;asset
178;121000;Cuentas por cobrar;asset_receivable;asset
179;121100;Productos a recibir;asset_current;asset
180;131000;Impuesto pagado;asset_current;asset
181;132000;Impuesto por cobrar;asset_current;asset
182;141000;Pagos anticipados;asset_prepayments;asset
183;151000;Activo fijo;asset_fixed;asset
184;191000;Activos no corrientes;asset_non_current;asset
185;201000;Pasivo circulante;liability_current;liability
186;211000;Cuenta por pagar;liability_payable;liability
187;211100;facturas a recibir;liability_current;liability
188;251000;Impuesto Recibido;liability_current;liability
189;252000;Impuesto a pagar;liability_current;liability
190;291000;Pasivos no corrientes;liability_non_current;liability
191;301000;Capital;equity;equity
192;302000;Dividendos;equity;equity
193;400000;Venta de productos;income;income
194;441000;Ganancia cambiaria;income;income
195;442000;Ganancia por diferencia en efectivo;income;income
196;450000;Otros Ingresos;income_other;income
197;500000;Costo de los bienes vendidos;expense_direct_cost;expense
198;600000;Gastos;expense;expense
199;611000;Compra de Equipos;expense;expense
200;612000;Alquiler;expense;expense
201;620000;Comisiones bancarias;expense;expense
202;630000;Gastos Salariales;expense;expense
203;641000;Pérdida cambiaria;expense;expense
204;642000;Pérdida de diferencia de efectivo;expense;expense
205;961000;Gastos de RD;expense;expense
206;962000;Gastos de venta;expense;expense
207;101300;Cuenta por cobrar (PoS);asset_receivable;asset
208;643000;Pérdida de descuento en efectivo;expense;expense
209;443000;Ganancia de descuento en efectivo;income;income
210;101401;cuenta transitoria;asset_current;asset
211;101402;Recibos pendientes;asset_current;asset
212;101403;Pagos pendientes;asset_current;asset
213;101501;Efectivo;asset_cash;asset
214;101404;Banco;asset_cash;asset
215;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity
216;101010;Activos circulantes (copia);asset_current;asset
